,ReviewTitle_new,ReviewBody_new,Product
0,honest review edm music lover,no doubt great bass great extent noise cancellation decent sound clarity mindblowing battery following dissapointed though tried lot adjust bluetooth range not pain ear due conical bud removed wire bit long make odd front no pouch provided worst part low quality distoring mic person keep complaining voice,boAt Rockerz 255
1,unreliable earphone high cost,earphone unreliable bought day meanwhile right side ear bud got cracked automatically got divided two part sound quality also not much good ok one thing bass not good boat earphone guy also proof attached picsplease see think buying unreliable product thanks,boAt Rockerz 255
2,really good durable,bought itfor purchased second time gifted first one brother really good sound quality really good connect device time connect laptop mobile listening muaic lappy get call switch mobile switch device not good price awesome battery stand hour used continously hour one go battery life pretty awesome comfortable ear,boAt Rockerz 255
3,stopped working day,sound quality adorable overall good week stopped working since never powered claiming warrenty still undergoing,boAt Rockerz 255
4,awesome wireless headphone,awesome good sound quality hr battery life waww look brought rupee amazon packageing system bad poor packaging flipcart packaging system much better amazon,boAt Rockerz 255
5,charging port not working,day charging port not working not even return wat know one year warranty day c mon boat please send new one,boAt Rockerz 255
6,loved color sound,sound build quality battery life earphone quality good strong magnetic lock strap good quality earphone wire good button quality good sound full punchy bass balanced treble sorrund effect good fitting ear hope connectivity good bcz last boat bluetooth bassheads connection issue worth price hope packaging good no bubble wrapping,boAt Rockerz 255
7,great sound worst mic,one month usage reviewing pro sound quality design weight batterycons bad mic talking not use riding bike music loud,boAt Rockerz 255
8,battery life good enough keep going day,not get enough earphone bass amazing perfect music lover battery life good enough keep going day fact connect laptop phone time switch make experience much better use earphone lot voice call not let must buy music lover,boAt Rockerz 255
9,bad durabity,product durability month lost bill detail not claim warrenty earphone built quality bad stop wrking completely month sep nov life span not lose ur bill detail incase want warranty purchasing must register ur product boat site replacement warranty,boAt Rockerz 255
10,running become comfortable,sound quality good mean not compared senheiser bose worth price perfect use running earbuds comfortable would not even feel plugged,boAt Rockerz 255
11,disappointed,earth use buying product stop working one month happiness sailed like boat disappointed,boAt Rockerz 255
12,extremely good bt earphone loud super bass,hey used quite budget earphone senn soundmagic e piston jbl c si boat rockerz compared boat rocker earphone additionally philip basic sony jbl headphone bought use friend relative none compare loudness bass overall effect bt earphone obviously not audiophile know difference good sound noise concern found wire hang lil low high could sharper nitpicking not fault otherwise paired rn pro,boAt Rockerz 255
13,product not good quality,product stopped working month time,boAt Rockerz 255
14,not expected th day purchase,right speaker not working useless product big disappointment,boAt Rockerz 255
15,good earphone good sound quality build quality,received boat earphone yesterday evening sound quality perfect good combination bass treble feel every beat connectivity quick detects connects easily battery life good stayed around hr received yesterday evening playing since first day review performance good earphone look solid build quality good magnate really helpful hold earphone earphone look great earphone wire could bit long fine not sure others not get chance charge not sure time full charge one thing observed hour play time music stopped playing middle not sure get disconnected technical problem overall performance nice good experience,boAt Rockerz 255
16,good sound bad designed,sound bass quality good battery life good noise cancelling good wire long uncomfortable not looking good wire starting top looking bad anyway everything ok,boAt Rockerz 255
17,good product decent pro,product good buy looking decent bluetooth earphone reputed brand sound quality pretty good good amount bass durability material seems durable earphone light weightbattery life decent battery life upto hour playtime volume connectivity get connected second sometimes get disconnected within small rangecall quality call quality decent person end call clearly however need place mic exactly near mouth sometimes call get distorted,boAt Rockerz 255
18,average product not buy,average product not happy pro good sound qualitycons uncomfortable silicon bud not soft bought memory foam bud pair use battery life ok give low battery alarm dy within minlittle heavy earsno return possible,boAt Rockerz 255
19,overall good not worth,problem earpiece metal heavier normal wired earpiece make feel uncomfortable start feel heavier ur ear earbuds sleepery heavy earpiece sleepery earbuds make irritate seems like boat focussed bass earphone note word bass much bass long time surely give headache bought not think worth senhessier cx wired earphone way much better way much want buy buy sake wireless feature not sound build quality,boAt Rockerz 255
20,budget friendly,product great intially real test month useso reviewing product two month usepros earphone drive rich sound quality inspite wireless neck band make much durable earphone flat wire durable magnet save loosing degree tilted earbuds fit right ear check degree tilted earphone day weather comfortable not come pair extra bud small big medium one already itcons connectivity dual phone not easy shown connect earphone phone usual disconnect phone switching bluetooth phone connect earphone phone b switch earphone switch back open bluetooth setting phone b paired device list select boat rocker device time earphone get hear connected boat rockerz twice get cracking sound ideal dial number dial pad battery life not accuratesometimes work hour battery sometime dead not rely battery indicator battery charged hour work constantly hour normal volume hope help mark helpful overall go get exciting deal product,boAt Rockerz 255
21,received product one side earphone not working,not guy check product selling received product one side earphone working not,boAt Rockerz 255
22,satisfied totally,got today really loved product awesome sound thinking buy airpod friend suggested spend much ordered really amazing look good great sound not hurt ua ear totally satisfied could not say battery got today,boAt Rockerz 255
23,not buy,rightside speaker stop working within day,boAt Rockerz 255
24,unable connect two device simultaneously,overall good unable connect two device simultaneously please guide thank,boAt Rockerz 255
25,read carefully,brought last week frank really awesome beyond expectation sound quality like personal home theatre clear loud enough listen every single bit music coming battery backup said hr working near one say go,boAt Rockerz 255
26,defective product,defective product not working return defective product,boAt Rockerz 255
27,not buy,although sound quality good purpose buying wireless earphone control button not work bought product withing week control stop responding not switch anything replaced got refund bought another piece different color worn day time seller appario retail private ltd leave wisdom whether want buy not never buy brand least platform,boAt Rockerz 255
28,really boat beating others price range k,prime customer amazon always purchase product much research bought boat rokerz sale trust blown away used sony headphone price range k similar price range sound quality battery life seems good not tested described update soon durability perfect fit no pain no discomfort really boat done fantastic job amazing music quality superb bass high mids low go,boAt Rockerz 255
29,not good,battery faulty,boAt Rockerz 255
30,really cheep quality,boat blue tooth ye doubt voice quality amazing day big fan boat day voice side going even day not able hear anything one sideboat service pathetic raise complaint almost day back replacement rapair day reach rapir center not sure many day boat take repair big suggestion not buy,boAt Rockerz 255
31,awesome bass battery life,awesome bass even low volume bass thing earphone really like sound could clarity nonetheless good great battery life well last hour grouse not comfortable changed plug smallest ear still hurt maybe take getting used spent great indian sale definitely worth,boAt Rockerz 255
32,review update product failed month,update sadly second boat product conk month use guess end journey boat audio not buying product brand changed rating reflect market cheap pair bluetooth earphone chanced upon lightning deal bought used boat product good build quality sound alright writing month enough time lived get know quirk problem sound nothing great bit bassy side bass lover definitely good buy connectivity quick painless work without hassle every time quality connectivity depends sometimes weird put phone charge use distance meter no worry sometimes walking really fast jogging break crackle audio not sure material gym wear work well phone jean battery life nothing write home listen music constantly even work demand probably high price range sweat proof advertised no interruption light drizzle got great build quality price look feel premium not tangle stay ear regardless intensity exercise great whole great buy looking cheaper alternative wait sale get though like review please click helpful button encourages share product use thanks,boAt Rockerz 255
33,ok quality,headphone good beginning week getting disturbance left side earpiece stay sometime,boAt Rockerz 255
34,good sound quality,audio quality pretty good way speaks bye amigo turning also unique durable designed right mic opening towards engraved rest headphone completely covered make water resistant guess thing look weird leav hanging around neck unlike bluetooth headphone hard collar kind thing wire stretching hang low neck hard collar kind one look like small neck accessory left hanging either way liked product job battery back also really good,boAt Rockerz 255
35,amazing product go,close eye go amazing price got festival sale cost rupee everything perfect bluetooth earphone bass amazing even sony jbl bt earphone sound crystal clear mic quality decent battery life hour playback noise cancellation pretty enough impressed earphone last earphone stereo supported enjoy song also play pubg bluetooth earphone really love boat,boAt Rockerz 255
36,frequent failure,item rendered defective three time le two month usage first two time due charging issue third time due sound distortion warranty item repaired first two time registered compliant third failure product spent time service centre used completely dissatisfied reliability product,boAt Rockerz 255
